ID_Product,PREP,LONG,LARG,HAUT,QTE,Volume_Product,POIDS,TYPE_OP,index,Number_Lines,Product_FREQUENCY,Quantity_demand,Average_Volume/Day,Familly
2223931,detail,535,90,80,10,3852000,10673,UNIT,4417,20,0.07692307692307693,39,577800.0,Heavy
2107829,detail,185,160,125,1,3700000,589,UNIT,2965,984,3.7846153846153845,1269,18058846.153846152,Normal
260367,detail,282,125,78,100,2749500,2030,UNIT,508,124,0.47692307692307695,772,8163900.0,Normal
365808,detail,180,125,30,20,675000,1939,UNIT,1160,44,0.16923076923076924,202,524423.0769230769,Normal
339351,detail,190,135,80,12,2052000,3270,UNIT,1089,11,0.04230769230769231,27,213092.3076923077,Normal
312634,detail,284,122,162,50,5612976,5060,UNIT,913,36,0.13846153846153847,115,2482662.4615384615,Heavy
304938,detail,170,110,35,1,654500,528,UNIT,838,415,1.5961538461538463,761,1915671.1538461538,Normal
2223497,detail,595,100,40,1,2380000,451,UNIT,4318,83,0.3192307692307692,334,3057384.6153846155,Normal
266884,detail,120,80,55,25,528000,373,UNIT,527,18,0.06923076923076923,80,162461.53846153847,Normal
2237084,detail,190,140,50,20,1330000,2114,UNIT,4574,175,0.6730769230769231,656,3355692.3076923075,Normal
2131358,detail,500,385,220,1,42350000,2815,UNIT,3270,190,0.7307692307692307,194,31599615.384615384,Normal
373422,detail,110,50,50,1,275000,1164,UNIT,1295,28,0.1076923076923077,33,34903.846153846156,Normal
2070395,detail,140,35,30,1,147000,250,UNIT,2588,936,3.6,2190,1238192.3076923077,Normal
7614,detail,32,5,16,1,2560,20,UNIT,48,3,0.011538461538461539,30,295.38461538461536,Fragile
62217,detail,405,45,45,1,820125,523,UNIT,180,44,0.16923076923076924,88,277580.76923076925,Normal
2216123,detail,435,160,140,1,9744000,2749,UNIT,4271,13,0.05,13,487200.0,Normal
2117878,detail,355,355,10,1,1260250,1362,UNIT,3078,66,0.25384615384615383,96,465323.07692307694,Normal
2158305,detail,130,120,85,1,1326000,398,UNIT,3549,6,0.023076923076923078,9,45900.0,Normal
20871,detail,361,278,55,5,5519690,1967,UNIT,75,147,0.5653846153846154,1277,27110169.730769232,Normal
435296,detail,68,40,23,1,62560,110,UNIT,1959,27,0.10384615384615385,35,8421.538461538461,Fragile
2279750,detail,180,73,25,1,328500,148,UNIT,4963,11,0.04230769230769231,18,22742.30769230769,Fragile
411510,detail,80,35,35,1,98000,190,UNIT,1648,56,0.2153846153846154,216,81415.38461538461,Fragile
2221956,detail,385,50,15,5,288750,382,UNIT,4282,47,0.18076923076923077,328,364269.23076923075,Normal
7613,detail,32,5,16,1,2560,20,UNIT,47,4,0.015384615384615385,11,108.3076923076923,Fragile
2257605,detail,495,395,145,1,28351125,4252,UNIT,4739,169,0.65,211,23008028.365384616,Normal
2261157,detail,155,72,55,1,613800,128,UNIT,4772,44,0.16923076923076924,116,273849.23076923075,Fragile
7598,detail,32,5,16,1,2560,20,UNIT,32,3,0.011538461538461539,15,147.69230769230768,Fragile
286801,detail,185,160,140,200,4144000,2210,UNIT,674,52,0.2,217,3458646.153846154,Normal
2039312,detail,170,110,25,10,467500,75,UNIT,2408,69,0.2653846153846154,110,197788.46153846153,Fragile
440000,detail,145,145,20,1,420500,41,UNIT,1989,11,0.04230769230769231,32,51753.846153846156,Fragile
2238557,detail,130,125,30,1,487500,497,UNIT,4627,87,0.3346153846153846,652,1222500.0,Normal
2150702,detail,125,125,53,25,828125,736,UNIT,3392,50,0.19230769230769232,199,633834.1346153846,Normal
